numren,sexo,edad,folio,tam_loc,est_dis,upm,factor,ur_rur_2500,municipio,entidad,ccevj,CBDj,CSj,CTELJ,CENJ,rei,ett,CASi,CASSi,cyt,nbi,mmip,E_ccevj,E_CBDj,E_CSj,E_CTELJ,E_CENJ,E_rei,E_CASSi,E_CASi,E_nbi,E_cict,E_ett,E_cyt,E_mmip,año,anio,is_cdmx,municipio_num,alcaldia_norm
1,1,41,9002375061,1,134,24170,1671,1,2,9,0.691666663,0.038606286,1.0,0.0,0.0,0.0,0.850580275,0.0,0.0,0.16657728,0.266105831,0.203800961,1,3,1,4,4,4,4,4,3,3,5,3,3,2016,2016,True,2,AZCAPOTZALCO
2,2,38,9002375061,1,134,24170,1671,1,2,9,0.691666663,0.038606286,1.0,0.0,0.0,0.199999988,0.850580275,0.0,0.0,0.16657728,0.313305825,0.221453756,1,3,1,4,4,3,4,4,3,3,5,3,3,2016,2016,True,2,AZCAPOTZALCO
3,1,21,9002375061,1,134,24170,1671,1,2,9,0.691666663,0.038606286,1.0,0.0,0.0,0.066666663,0.850580275,0.0,0.0,0.16657728,0.281839162,0.209685221,1,3,1,4,4,3,4,4,3,3,5,3,3,2016,2016,True,2,AZCAPOTZALCO
4,2,17,9002375061,1,134,24170,1671,1,2,9,0.691666663,0.038606286,1.0,0.0,0.0,-0.071428537,0.850580275,0.0,1.0,0.16657728,0.390748709,0.250417382,1,3,1,4,4,4,1,4,2,3,5,3,3,2016,2016,True,2,AZCAPOTZALCO
5,2,13,9002375061,1,134,24170,1671,1,2,9,0.691666663,0.038606286,1.0,0.0,0.0,-0.100000024,0.850580275,0.0,0.0,0.16657728,0.242505819,0.194974557,1,3,1,4,4,5,4,4,3,3,5,3,3,2016,2016,True,2,AZCAPOTZALCO
1,2,40,9003320011,1,133,24180,1788,1,2,9,0.521551728,-0.011360168,0.0,0.0,0.0,-0.3125,1.740740776,0.49000001,1.0,0.467129946,0.307495087,0.407426506,1,4,4,4,4,5,1,2,3,3,1,2,2,2016,2016,True,2,AZCAPOTZALCO
2,2,13,9003320011,1,133,24180,1788,1,2,9,0.521551728,-0.011360168,0.0,0.0,0.0,-0.100000024,1.740740776,0.49000001,1.0,0.467129946,0.357645065,0.426182598,1,4,4,4,4,5,1,2,2,3,1,2,2,2016,2016,True,2,AZCAPOTZALCO
3,1,7,9003320011,1,133,24180,1788,1,2,9,0.521551728,-0.011360168,0.0,0.0,0.0,-0.25,1.740740776,0.49000001,1.0,0.467129946,0.322245091,0.412943006,1,4,4,4,4,5,1,2,3,3,1,2,2,2016,2016,True,2,AZCAPOTZALCO
1,1,55,9003320021,1,133,24180,1788,1,2,9,0.111111104,-0.941275477,0.0,0.0,0.0,-0.5,0.880182028,1.0,1.0,0.451669514,0.146850467,0.337667197,3,6,4,4,4,6,1,1,3,2,5,2,2,2016,2016,True,2,AZCAPOTZALCO
2,2,56,9003320021,1,133,24180,1788,1,2,9,0.111111104,-0.941275477,0.0,0.0,0.0,0.25,0.880182028,1.0,1.0,0.451669514,0.323850453,0.403865188,3,6,4,4,4,3,1,1,3,2,5,2,2,2016,2016,True,2,AZCAPOTZALCO
